0	0.0035971223021582736	0.00010796804145972792	1.5259021896696422e-05	0.03357314148681055	0.0004405190198537959	0.005463474524248006	0.0004541841716816169	0.0004276245456489202	0.019350762183081908	0.16666666666666666	0.02884615384615385	0.0060851926977687635	0.006861848124428179	27	9	7	1	1	1	191	1	1	1	287	7	239	1	271	7	3	121	1	1	7	2	2	1	1	1
1	0.0	0.00021593608291945585	0.00016784924086366064	0.01199040767386091	0.00589388028909994	0.002087170042971148	0.00022709208584080845	0.0008552490912978406	0.0003949135139404471	0.0	0.009615384615384616	0.0	0.0007624275693809088	5	8	0	0	1	2	180	18	1	529	2	0	4	3	34	0	4	3	105	2	0	1	1	186	8	0
1	0.0	0.0011876484560570072	3.0518043793392844e-05	0.004796163069544364	0.004128358167808455	0.01043585021485574	0.00022709208584080845	0.0006414368184733802	0.001895584866914146	0.0	0.019230769230769232	0.0	0.00030497102775236347	2	1	258	325	2	1	339	1	1	0	193	268	200	1	1075	297	5	569	1	1	275	1	2	309	1	1
1	0.0	0.004318721658389117	3.0518043793392844e-05	0.03597122302158273	0.0024759810881221827	0.00521792510742787	0.0004541841716816169	0.003848620910840282	0.01816602164126057	0.0	0.02884615384615385	0.0	0.0022872827081427266	2	169	0	0	2	6	290	1	1	128	47	0	55	2	871	0	1	413	1	1	0	1	1	625	1	1
0	0.0	0.0001619520621895919	0.0002746623941405356	0.01199040767386091	0.000966614746302397	0.004910988336402702	0.00431474963097536	0.0010690613641223003	0.007503356764868494	0.0	0.04807692307692308	0.0	0.0007624275693809088	1	2	5	5	1	2	68	1	1	269	8	5	12	3	98	5	5	13	4	2	5	1	1	2	2	4
0	0.0	0.0010796804145972792	0.00018310826276035703	0.019184652278177457	0.005148960903506233	0.002701043585021486	0.00022709208584080845	0.002565747273893521	0.004502014058921097	0.0	0.019230769230769232	0.0	0.0012198841110094539	1	48	0	0	21	2	0	1	1	0	876	0	807	2	131	0	4	49	68	4	0	1	1	0	39	0
0	0.0	5.398402072986396e-05	0.0	0.0	0.04085856984667411	0.008717004297114795	0.0	0.0014966859097712208	0.0049759102756496325	0.0	0.0	0.0	0.0	4	3	1	1	1	3	0	1	2	0	669	1	639	4	1	1	4	2	1	1	1	1	2	1	1	1
0	0.0	0.007665730943640683	3.0518043793392844e-05	0.004796163069544364	0.0	0.0	0.0	0.0004276245456489202	0.00015796540557617883	0.0	0.0	0.0	0.00030497102775236347	7	1	2	2	1	1	8	8	2	1	12	2	6	1	848	2	9	267	1	1	2	2	1	3	1	1
1	0.0	0.00010796804145972792	1.5259021896696422e-05	0.007194244604316545	0.0016661612471914758	0.0	0.0	0.0006414368184733802	0.0007108443250928048	0.0	0.0	0.0	0.0004574565416285453	1	192	0	0	1	2	1889	3	1	240	434	0	320	1	866	0	7	592	1	1	0	1	1	116	1	1
0	0.0	5.398402072986396e-05	0.0	0.0	0.01332699261628094	0.0	0.0	0.006841992730382725	0.003001342705947397	0.0	0.0	0.0	0.0	2	3	1	1	1	4	93	1	1	129	145	1	152	3	74	1	3	84	1	1	1	1	3	1	1	1
